CategoryId,CategoryName,DescriptionText,CustomerName,ContractName,Customer_Address,Customer_City,Customer_PostalCode,Customer_Country,EmployeeID,employee_FirstName,employee_LastName,Employee_BirthDate,employee_EducationDetails,OrderID,CustomerID,OrderDate,ShipperID,OrderDetailID,ProductId,Quantity,ProductName,SuppliersID,Unit,Price,ShipperName,ShipperPhone,suppliersName,suppliers_contactName,suppliersAddress,SuppliersCity,supplies_PostalCode,SuppliersCountry,SuppliersPhone
8,Seafood,"Seaweed and fish","Save-a-lot Markets","Jose Pavarotti","187 Suffolk Ln.",Boise,83720,USA,9,Anne,Dodsworth,1969-07-02,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.",10324,71,1996-10-08,1,198,46,30,Spegesild,21,"4 - 450 g glasses",12,"Speedy Express","(503) 555-9831",Lyngbysild,"Niels Petersen","Lyngbysild Fiskebakken 10",Lyngby,2800,Denmark,43844108
8,Seafood,"Seaweed and fish","Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10260,55,1996-07-19,1,34,41,16,"Jacks New England Clam Chowder",19,"12 - 12 oz cans",9.65,"Speedy Express","(503) 555-9831","New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",Boston,02134,USA,"(617) 555-3267"
8,Seafood,"Seaweed and fish",Frankenversand,"Peter Franken","Berliner Platz 43",München,80805,Germany,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10267,25,1996-07-29,1,52,40,50,"Boston Crab Meat",19,"24 - 4 oz tins",18.4,"Speedy Express","(503) 555-9831","New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",Boston,02134,USA,"(617) 555-3267"
8,Seafood,"Seaweed and fish","Wartian Herkku","Pirkko Koskitalo","Torikatu 38",Oulu,90110,Finland,1,Nancy,Davolio,1968-12-08,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of Toastmasters International.",10270,87,1996-08-01,1,59,36,30,"Inlagd Sill",17,"24 - 250 g jars",19,"Speedy Express","(503) 555-9831","Svensk Sjöföda AB","Michael Björn","Brovallavägen 231",Stockholm,"S-123 45",Sweden,"08-123 45 67"
8,Seafood,"Seaweed and fish","Romero y tomillo","Alejandra Camino","Gran Vía 1",Madrid,28001,Spain,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10282,69,1996-08-15,1,89,30,6,"Nord-Ost Matjeshering",13,"10 - 200 g glasses",25.89,"Speedy Express","(503) 555-9831","Nord-Ost-Fisch Handelsgesellschaft mbH","Sven Petersen","Frahmredder 112a",Cuxhaven,27478,Germany,"(04721) 8713"
7,Produce,"Dried fruit and bean curd","Tradição Hipermercados","Anabela Domingues","Av. Inês de Castro 414","São Paulo",05634-030,Brazil,6,Michael,Suyama,1963-07-02,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses Multi-Cultural Selling and Time Management for the Sales Professional. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",10249,81,1996-07-05,1,5,51,40,"Manjimup Dried Apples",24,"50 - 300 g pkgs.",53,"Speedy Express","(503) 555-9831","Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",Sydney,2042,Australia,"(02) 555-5914"
7,Produce,"Dried fruit and bean curd","Tradição Hipermercados","Anabela Domingues","Av. Inês de Castro 414","São Paulo",05634-030,Brazil,6,Michael,Suyama,1963-07-02,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses Multi-Cultural Selling and Time Management for the Sales Professional. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",10249,81,1996-07-05,1,4,14,9,Tofu,6,"40 - 100 g pkgs.",23.25,"Speedy Express","(503) 555-9831",Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",Osaka,545,Japan,"(06) 431-7877"
6,Meat/Poultry,"Prepared meats","Berglunds snabbköp","Christina Berglund","Berguvsvägen 8",Luleå,"S-958 22",Sweden,2,Andrew,Fuller,1952-02-19,"Andrew received his BTS commercial and a Ph.D. in international marketing from the University of Dallas. He is fluent in French and Italian and reads German. He joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales. Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.",10280,5,1996-08-14,1,84,55,20,"Pâté chinois",25,"24 boxes x 2 pies",24,"Speedy Express","(503) 555-9831","Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent",Montréal,"H1J 1C3",Canada,"(514) 555-9022"
6,Meat/Poultry,"Prepared meats","Reggiani Caseifici","Maurizio Moroni","Strada Provinciale 124","Reggio Emilia",42100,Italy,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10288,66,1996-08-23,1,107,54,10,Tourtière,25,"16 pies",7.45,"Speedy Express","(503) 555-9831","Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent",Montréal,"H1J 1C3",Canada,"(514) 555-9022"
6,Meat/Poultry,"Prepared meats","Comércio Mineiro","Pedro Afonso","Av. dos Lusíadas 23","São Paulo",05432-043,Brazil,8,Laura,Callahan,1958-01-09,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.",10290,15,1996-08-27,1,112,29,15,"Thüringer Rostbratwurst",12,"50 bags x 30 sausgs.",123.79,"Speedy Express","(503) 555-9831","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755"
